Laikotarpis,Rodiklis,Šalys ir teritorijos:Kodas,Šalys ir teritorijos:Pavadinimas,Kombinuotoji nomenklatūra (2-jų ženklų lygiu),Apskritys,Matavimo vienetai,Reikšmė,
2019,Lietuviškos kilmės eksportas,CM,Kamerūnas,,Lietuvos Respublika,tūkst. EUR,3002,0.02%
2019,Lietuviškos kilmės eksportas,KG,Kirgizijos Respublika,,Lietuvos Respublika,tūkst. EUR,2971.7,0.02%
2019,Lietuviškos kilmės eksportas,AL,Albanija,,Lietuvos Respublika,tūkst. EUR,2922.9,0.02%
2019,Lietuviškos kilmės eksportas,BM,Bermuda,,Lietuvos Respublika,tūkst. EUR,2913.1,0.02%
2019,Lietuviškos kilmės eksportas,MK,Šiaurės Makedonija,,Lietuvos Respublika,tūkst. EUR,2896,0.02%
2019,Lietuviškos kilmės eksportas,KW,Kuveitas,,Lietuvos Respublika,tūkst. EUR,2676.9,0.02%
2019,Lietuviškos kilmės eksportas,CO,Kolumbija,,Lietuvos Respublika,tūkst. EUR,2617.2,0.01%
2019,Lietuviškos kilmės eksportas,XK,Kosovas,,Lietuvos Respublika,tūkst. EUR,2473.5,0.01%
2019,Lietuviškos kilmės eksportas,GH,Gana,,Lietuvos Respublika,tūkst. EUR,2440.1,0.01%
2019,Lietuviškos kilmės eksportas,TJ,Tadžikistanas,,Lietuvos Respublika,tūkst. EUR,2352.8,0.01%
2019,Lietuviškos kilmės eksportas,OM,Omanas,,Lietuvos Respublika,tūkst. EUR,2352.3,0.01%
2019,Lietuviškos kilmės eksportas,NP,Nepalas,,Lietuvos Respublika,tūkst. EUR,2325.6,0.01%
2019,Lietuviškos kilmės eksportas,AF,Afganistanas,,Lietuvos Respublika,tūkst. EUR,2309.1,0.01%
2019,Lietuviškos kilmės eksportas,SN,Senegalas,,Lietuvos Respublika,tūkst. EUR,2081.5,0.01%
2019,Lietuviškos kilmės eksportas,TM,Turkmėnistanas,,Lietuvos Respublika,tūkst. EUR,2051.4,0.01%
2019,Lietuviškos kilmės eksportas,NA,Namibija,,Lietuvos Respublika,tūkst. EUR,1739.2,0.01%
2019,Lietuviškos kilmės eksportas,IR,Iranas,,Lietuvos Respublika,tūkst. EUR,1707.3,0.01%
2019,Lietuviškos kilmės eksportas,JO,Jordanija,,Lietuvos Respublika,tūkst. EUR,1605.7,0.01%
2019,Lietuviškos kilmės eksportas,TT,Trinidadas ir Tobagas,,Lietuvos Respublika,tūkst. EUR,1490.4,0.01%
2019,Lietuviškos kilmės eksportas,PY,Paragvajus,,Lietuvos Respublika,tūkst. EUR,1392.3,0.01%
